genus,species,s_LMA,s_Nmass,s_Pmass,s_wsg,s_dbhmax,s_hmax,s_ah,s_seedmass,s_regionalfreq,s_tlp,s_drymass
Couepia,bracteosa,122.8,0.015,4.817e-4,0.784,0.45,50.92,0.308,1,0.00526315789473684,-2.25548,1.29282051783342
Couepia,caryophylloides,98.67,0.0171,6.778e-4,0.752,0.39,50.92,0.308,1,0.00526315789473684,-1.86756,0.960750004897515
Dicorynia,guianensis,91.25633,0.0243,6.9e-4,0.61,1.02,57.87,0.362,1,0.00526315789473684,-1.7119066666,0.463542220857408
Eschweilera,coriacea,104.6,0.0207,0.00115,0.657,0.54,41.86,0.22,1,0.00526315789473684,-1.82828761914286,0.903774946263641
Eschweilera,grandiflora,123.98,0.0232,0.00116,0.628,0.81,54.04,0.342,1,0.00526315789473684,-1.7542,1.55482882449219
Lecythis,persistens,130.09,0.0189,4.985e-4,0.685,0.32,54.22,0.339,1,0.00526315789473684,-1.94972,1.46643492257784
Lecythis,poiteaui,85.98,0.0276,5.868e-4,0.695,0.61,49.23,0.27,1,0.00526315789473684,-2.5810693332,0.494473118294952
Licania,alba,138.36,0.0141,3.925e-4,0.755,0.42,40.33,0.207,1,0.00526315789473684,-2.04401333342857,1.48725724112296
Licania,canescens,102.52,0.0206,4.366e-4,0.766,0.29,27.27,0.11,1,0.00526315789473684,-2.047826666625,0.279396825484813
Licania,membranacea,127.69,0.0163,3.884e-4,0.785,0.56,43.24,0.196,1,0.00526315789473684,-2.23912888866667,0.561384614939109
Pouteria,cladantha,129.87,0.013,3.076e-4,0.811,0.32,50.92,0.308,1,0.00526315789473684,-1.926146667,0.333555556005902
Pouteria,filipes,80.34,0.0278,8.959e-4,0.696,0.68,50.92,0.308,1,0.00526315789473684,-2.19932,0.374866670370102
Pouteria,gonggrijpii,110.67,0.0204,5.6e-4,0.698,0.36,25.9,0.103,1,0.00526315789473684,-2.075213333,0.805405794602373
Protium,gallicum,74.58,0.0184,5.926e-4,0.639,0.28,31.79,0.116,1,0.00526315789473684,-2.49719333325,0.117902124749203
Protium,opacum,90.92,0.0163,6.818e-4,0.562,0.32,38.5,0.184,1,0.00526315789473684,-1.98184444433333,0.647198198614894
Protium,sagotianum,95.81,0.0174,6.486e-4,0.577,0.41,40.5,0.193,1,0.00526315789473684,-2.28685333325,0.854013889407118
Protium,trifoliolatum,68.09,0.0193,5.802e-4,0.659,0.28,50.92,0.308,1,0.00526315789473684,-2.3119866665,0.158499999858794
Qualea,rosea,105.96,0.0184,5.3e-4,0.548,0.5,58.07,0.299,1,0.00526315789473684,-1.77916,0.440238993544624
